company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
1000,0000006002,5200001469,2025,001,2025-05-28,2025-06-27,N030,CNY,1374006.4,PO45981666,Port Fees,CN,urgent,no,wire,no,no,BATCH-E40
3000,0000005001,5200001470,2025,002,2025-05-09,2025-06-23,N045,GBP,969837.87,PO45966199,Customs Brokerage,GB,urgent,yes,card,yes,no,BATCH-E40
3000,0000004002,5200001471,2025,001,2025-06-30,2025-07-30,0001,EUR,2650.79,PO45641883,Expedited Air Freight,DE,urgent,yes,rtp,yes,no,BATCH-E40
3000,0000001002,5200001472,2025,001,2025-08-01,2025-08-31,N030,USD,2963.0,PO45411467,Port Fees,US,urgent,no,wire,no,yes,BATCH-E40
3000,0000001003,5200001473,2025,002,2025-07-07,2025-08-06,0001,USD,4086.12,PO45333290,Expedited Air Freight,US,urgent,no,card,yes,yes,BATCH-E40
2000,0000003002,5200001474,2025,002,2025-06-16,2025-08-15,Z060,USD,1229.12,PO45562807,Palletization,,urgent,no,ach_same_day,yes,no,BATCH-E40
1000,0000003002,5200001475,2025,001,2025-06-02,2025-07-02,0001,MXN,981.44,PO45802796,Warehouse Storage,MX,urgent,no,card,no,no,BATCH-E40
1000,0000003002,5200001476,2025,001,2025-08-03,2025-07-17,Z060,MXN,4373.49,PO45694397,Drayage & Fuel,MX,urgent,yes,rtp,yes,no,BATCH-E40
3000,0000003002,5200001477,2025,001,2025-07-20,2025-09-18,Z060,MXN,14944.91,PO45970539,Palletization,MX,high,no,wire,yes,no,BATCH-E40
1000,0000001003,5200001478,2025,003,2025-05-08,2025-06-22,N045,USD,1458738.96,PO45490434,Linehaul,US,high,yes,auto,yes,yes,BATCH-E40
2000,0000007001,5200001479,2025,003,2025-05-26,2025-07-25,Z060,JPY,16421.18,PO45863584,Container Handling,JP,high,no,ach,no,no,BATCH-E40
3000,0000004001,5200001480,2025,001,2025-05-31,2025-06-30,N030,EUR,63042.17,PO45650197,Container Handling,DE,high,no,card,no,no,BATCH-E40
2000,0000001002,5200001481,2025,002,2025-07-17,2025-08-16,0001,USD,6995.14,PO45808017,Last-Mile Delivery,US,high,no,ach_same_day,no,yes,BATCH-E40
1000,0000006002,5200001482,2025,002,2025-05-15,2025-06-14,0001,CNY,60101.59,PO45177337,Warehouse Storage,CN,high,no,ach,yes,no,BATCH-E40
3000,0000002002,5200001483,2025,003,2025-06-02,2025-08-01,Z060,CAD,119680.38,PO45898431,Warehouse Storage,CA,high,no,rtp,yes,no,BATCH-E40
1000,0000003001,5200001484,2025,001,2025-05-05,2025-06-04,0001,MXN,24327.37,PO45958047,Port Fees,MX,high,no,rtp,no,no,BATCH-E40
2000,0000007001,5200001485,2025,003,2025-05-10,2025-04-28,N030,JPY,41524.87,PO45326822,Warehouse Storage,JP,high,no,ach,yes,no,BATCH-E40
3000,0000003001,5200001482,2025,002,2025-06-19,2025-07-19,N030,MXN,39780.09,PO45451802,Port Fees,MX,high,no,rtp,no,no,BATCH-E40
3000,0000001001,5200001487,2025,003,2025-07-25,2025-09-08,0002,USD,16723.68,PO45386615,Drayage & Fuel,US,normal,no,wire,no,yes,BATCH-E40
3000,0000004001,5200001488,2025,003,2025-05-05,2025-07-04,Z060,EUR,54207.06,PO45199878,Last-Mile Delivery,DE,normal,no,rtp,yes,no,BATCH-E40
1000,0000006002,5200001489,2025,001,2025-07-27,2025-08-26,0001,CNY,18587.76,PO45900411,Container Handling,CN,normal,no,card,no,no,BATCH-E40
3000,0000005001,5200001490,2025,001,2025-07-30,2025-08-29,N030,GBP,40469.31,PO45920579,Expedited Air Freight,GB,normal,no,wire,no,no,BATCH-E40
2000,0000002001,5200001491,2025,003,2025-06-28,2025-08-12,N045,CAD,27008.34,PO45696353,Warehouse Storage,CA,normal,no,ach,yes,no,BATCH-E40
2000,0000001005,5200001492,2025,003,2025-07-24,2025-08-23,N030,USD,4873.28,PO45299478,Port Fees,US,normal,no,auto,yes,yes,BATCH-E40
2000,0000002001,5200001493,2025,003,2025-06-24,2025-07-24,0001,CAD,50395.93,PO45434765,Customs Brokerage,CA,normal,no,ach_same_day,no,no,BATCH-E40
3000,0000002001,5200001494,2025,001,2025-05-07,2025-06-21,N045,CAD,255080.74,PO45732188,Warehouse Storage,CA,normal,no,wire,yes,no,BATCH-E40
1000,0000002002,5200001495,2025,003,2025-06-13,2025-07-28,0002,CAD,800.48,PO45383778,Ocean Freight,CA,normal,no,card,yes,no,BATCH-E40
1000,0000002001,5200001496,2025,003,2025-05-04,2025-06-18,N045,CAD,24616.41,PO45811944,Container Handling,CA,normal,yes,ach,yes,no,BATCH-E40
1000,0000004002,5200001492,2025,002,2025-07-16,2025-08-30,N045,EUR,15792.53,PO45585887,Linehaul,DE,normal,no,auto,no,no,BATCH-E40
3000,0000005001,5200001498,2025,001,2025-05-12,2025-06-11,0001,GBP,9793.39,PO45249587,Ocean Freight,GB,normal,no,auto,no,no,BATCH-E40
3000,0000004002,5200001499,2025,003,2025-05-20,2025-07-19,Z060,EUR,34710.95,PO45341175,Port Fees,DE,normal,no,ach_same_day,no,no,BATCH-E40
2000,0000004002,5200001496,2025,003,2025-06-28,2025-08-27,Z060,EUR,17056.64,PO45648743,Ocean Freight,DE,normal,no,ach_same_day,yes,no,BATCH-E40
1000,0000004002,5200001496,2025,002,2025-05-20,2025-07-04,0002,EUR,6042.62,PO45194279,Linehaul,DE,low,no,wire,yes,no,BATCH-E40
1000,0000003002,5200001502,2025,002,2025-07-17,2025-08-16,N030,MXN,11077.07,PO45286048,Customs Brokerage,MX,low,no,wire,yes,no,BATCH-E40
1000,0000003001,5200001503,2025,002,2025-05-28,2025-05-04,N030,MXN,13520.4,PO45507925,Expedited Air Freight,MX,low,no,ach,no,no,BATCH-E40
1000,0000001002,5200001503,2025,002,2025-07-26,2025-08-25,N030,USD,946.78,PO45691607,Palletization,US,low,no,rtp,no,yes,BATCH-E40
2000,0000005001,5200001505,2025,001,2025-06-15,2025-07-30,0002,GBP,4924.38,PO45546284,Warehouse Storage,GB,low,no,ach_same_day,no,no,BATCH-E40
1000,0000003001,5200001506,2025,002,2025-08-05,2025-09-19,0002,MXN,12351.31,PO45396291,Drayage & Fuel,MX,low,yes,ach_same_day,yes,no,BATCH-E40
1000,0000001003,5200001507,2025,003,2025-07-16,2025-08-30,N045,USD,3220.41,PO45154660,Last-Mile Delivery,US,low,no,card,no,yes,BATCH-E40
2000,0000001003,5200001508,2025,001,2025-06-08,2025-07-08,0001,USD,12085.06,PO45259307,Linehaul,US,low,no,ach,no,yes,BATCH-E40
